Texto,Interes
"A propósito de últimas informaciones en prensa y opiniones sobre tramitación de LIG, dejo otras ideas y algunos datos esperando que aporten al momento: 1. Proyecto ingresó al Congreso Nacional el 7 mayo 2013: por moción parlamentaria y durante el Gobierno de Sebastián Piñera.

1 respuesta 27 retweets 33 Me gusta
",-1
"El ministro Moreno confirmó que el Gobierno de Piñera rebajará impuestos a las grandes empresas.  Alrededor de mil millones de dolares dejará de percibir el Estado.
De dónde saldrá esa diferencia?
No hay que ser experto económico para saber quienes pagaremos ese costo",-1
"Ledezma en Carta Pública dirigida a los presidentes de Chile, Piñera; Perú, Kuczynski; y Argentina,  Macri, les solicitó “acciones y medidas efectivas para liberar a Vzla d la dictadura y ahorrarle a nuestro Continente los estragos previsibles, d perdurar la narcotiranía vzolana”",-1
"Está claro que las RREE son un tema de estado, pero Piñera no debe seguir haciendo guiños a la izquierda, hoy envió a Muñoz a La Haya, ya lo hizo con Guillier...Basta Piñera, no juegues con fuego, te puedes quemar !!!",-1
Ahora todos los hueones reclamando porque Piñera le bajará los impuestos a los empresarios de 27 a 25%. No les gusto quedarse hueveando en la casa y no gastar una hora de su tiempo pa ir a votar??? Se aguantan los culiaos ahora.,-1
"Si la mitad de quienes critican a piñera o sus ministros en esta red social, sólo la mitad, hubiese ido a votar, no habría tanto carerraja en Twitter…",-1
Es imposible q gobierno pueda abrir una negociación con la oposición si no se contempla el tema Constitucional. Piñera puede mandar su propio proyecto y ya hay uno d la Presidenta Bachelet. Se verán los 2 en Comisiones y hay que aprobar  el plebiscito para lo q salga del Congreso,-1
"Piñera  gobierna en contra del clamor popular: Condiciona la gratuidad al crecimiento económico, abre la posibilidad de conmutar penas a genocidas de Punta Peuco,   elimina cuatro feriados...
Sin duda, está gobernando para su clientela política y los grupos económicos.",-1
"Va una semana del Gobierno de Piñera y  ya parece una eternidad!!! Hemos retrocedido todo lo avanzado por cumplir caprichos de un sector.
*Ley de Identidad de Género.
*Reforma Constitucional.
* + Vacaciones - Feriados.
*Gratuidad será evaluada según ande la economía.",-1
Impresionante como la Izquierda exige a Gobierno de Piñera que arregle en 4 días cagazos que ellos dejaron en 4 años ,-1
"una semana del gobierno de piñera y ya dicen que le van a dar indulto a gente de punta peuco, van a quitar feriados y el ministro de educación no quiere que los estudiantes se manifiesten. tiempos mejores 💕",-1
"Para hacer la plata que tiene Piñera hay q trabajar, ser proactivo, diligente, emprendedor, trabajador, cosa que esta gente no 🚫 conoce.  Un comunista emprendedor? Resentidos y desclasados sociales. El éxito de otros no lo toleran.",-1
"La búsqueda de Acuerdos a los que el Pdte Piñera nos convoca debe partir por asumir que los partidos opositores tienen mayoría en el Congreso y nosotros en el pais, y que las reformas no parten de cero sino de algunos avances del gobierno que recién termino.",-1
"Que levante la mano quien cree que realmente el sello del gobierno de Piñera será ""social""....
Primer parche ayudar en gastos de salud a clase media para que un cáncer no los lleve a la pobreza, en vez de profundizar en cambio para un sistema único de salud.
Min Moreno no pues",-1
"Por los próximos 4 años el facho pobre promedio y los muy poquísimos fachos con plata se despertarán avergonzados preguntado: y qué cagada se mandará Piñera hoy?

No se preocupen, nosotros se lo recordaremos",-1
"No fue esta misma, la que advirtió a todo Chile sobre los robos, negociados y especulación financiera en desmedro de nuestro país y a favor de si mismo de Sebastian Piñera? Eres muy odiosa mujer!! Grande mi Presi!Chile agradecido mañana te despedimos a las 8 AM en la moneda ",-1
"POR FAVOR DIOSITO QUE SEA VERDAD, ENCUENTRO ULTIMO QUE ESTEN JUGANDO AL SUSPENSO CON ESTO PERO NECESITO QUE A LOS FACHOS LES ENTRE UN KILOMETRO DE AJI EN EL HOYO JUSTO CUANDO ASUME PIÑERA ",-1
Espero que mi Chile amado regrese a la normalidad. Que Piñera pueda gobernar tranquilo y lleve al pais adelante como el sabe. Que se terminen las contradicciones politicas y todos trabajen en el bien de la Patria,-1
"JUAN MANUEL TOSO, renunció a Subsecretaría de Redes Asistenciales y a equipo de Piñera antes de asumir su cargo. El nombramiento de Toso había generado polémica debido a una sanción ética del Colegio Médico, por haber beneficiado a una de sus hijas para una Beca de especialidad",-1
Marcelo Zara Pizarro futuro gobernador del presidente electo Sebastián Piñera en Parinacota es hijo del genocida condenado por el asesinato del General Carlos Prats y su esposa Sophia Cuthbert en 1974,-1
"Primera Baja de Piñera Juan Manuel Toso, renuncia antes de asumir Subsecretaría de Redes Asistenciales: Su gremio  Médico denuncia que Toso ""negoció»"" 4 becas para incluir a su hija entre los beneficiados ",-1
Juan Manuel Toso renuncia y no asume como Subsecretario de Redes en Minsal en Gob de Piñera. Es como si a un equipo le expulsaran un jugador en el camarín antes de salir a la cancha. ,-1
"Piñera siempre miente en las entrevistas, así habla él, forma parte de su discurso. Desde exagerar, a mentir en cuestiones muy serias. Y mentir como lo hizo en Univisión siendo presidente electo es grave.Los medios extranjeros están buscando confirmar lo que dijo.",-1
"Aún no asumen y ya hay renuncia. Los paladines de la ética y piñera no consideraron el nepotismo del subsecretario de redes sociales Juan Manuel Toso y, bueno, la presión del Colegio Médico surtió  efecto.",-1
"Bien que si uno de los nominados por Piñera no cumple el standard ético necesario, sea reemplazado de inmediato. Mejor empezar bien.",-1
"PRESIDENTE PIÑERA PIDE AL MINISTRO DEL INTERIOR APLICAR EL NUEVO REGLAMENTO MIGRATORIO QUE INCLUYE VISADO PARA LOS HAITIANOS, EXPULSIÓN DE EXTRANJEROS CON PROBLEMAS PENALES GRAVES, VISADO SELECTIVO PARA INGRESAR A CHILE Y REFORZAMIENTO DE LAS FRONTERAS.",-1
Otra mas Piñera designo como gobernador de Painacota a Marcelo Zara Pizarro hijo del brigadier (r) José Zara Holger  quien cumple condena de 15 años  en el penal #PuntaPeuco  ingreso en julio del 2010 como autores del homicidio del general Carlos Prats y su esposa Sofía Cuthbert. pic.twitter.com/vhA2yNGfuh,-1
Votamos por Piñera para tener un gobierno serio y no para que Hollywood nos de pautas sobre la agenda legislativa.,-1
"Y cuando creíamos q este gobierno no podía ser más patético, presentan proyecto con nueva constitución a 6 días de entregar el poder😨
Ojo! q está constitución no la conoce nadie se hizo entre cuatro paredes, propongo q el presidente Piñera haga un lulo y se las envié de vuelta😁 ",-1
"Quemaron iglesias con niños y mujeres adentro"", ""La Araucanía necesita Plan Marshall""... tremenda ignorancia, improvisación y confusión de Piñera! Semejantes fails son inadmisibles en alguien que pretenda gobernar! Si hubiese sido la Pdta Bachelet ya estarían pidiendo renuncia!",-1
"Sospechosa la wea: Vuelve Sebastián Piñera a la presidencia y vuelve Jorge Segovia a Chile (Santa Laura) falta Gabriel Ruiz-Tagle, repatriar a Sergio Jadue y se rearma la banda de ""Los Care' Coima"" los mafiosos que sacaron a Marcelo Bielsa",-1
Pretender cambiarla en un capricho de bachelelet y del partido comunista que quieren maquillarla a su conveniencia como lo hizo Maduro en Venezuela y vean como están . Chilenos estemos atentos y exijamos al presidente Piñera mano firme antes de que sea demasiado,-1
"Hoy vimos la verdadera Bachellet fria calculadora altanera y desafiante como emulando su pasado frentista . 
Presidente Piñera desde el próximo lunes espero q pare todo aquellos proyectos que atenten contra los Chilenos q votamos por usted y que no queremos saber de Bachellet",-1
"Que Bachelet anuncie""#UnaConstituciónParaChile""en Cadena Nacional a días(!)de pasarle Gob.a Piñera,indica la pésima gestión de 1 prioridad en su Programa.Dada la composición de próx.Congreso,casi imposible que se plasme siquiera en reformas sustantivas.",-1
"Ley de Identidad de Género: Movilh dice que Piñera y la derecha han sido ""ambiguos y contradictorios"" en su postura",-1
A cada rato la vida le cobrara a Piñera sus promesas demagogicas. Veremos como responde. Ahora se enfrenta al tema transgenero que dijo era una enfermedad que se superaba con la edad.. Estaremos atentos.,-1
"Vendepatria no es quien acoge a un inmigrante, vendepatria es quien lucra con el mar y la soberanía nacional. Piñera fue formalizado por ese delito. Todo quedó en nada, porque el caso lo llevó el fiscal Guerra, el mismo que dejó en libertad a Moreira…",-1
"Trump bajó impuestos a las empresas, argumentando que riqueza liberada iría a trabajadores e inversión. Pero no. Esto pasó en realidad: 
(y es importante, ya que Piñera propone hacer en Chile, en menor orden de magnitud, básicamente lo mismo, argumentando las mismas razones) ",-1
"Pa q hace esto MB a una semana de irse? Piñera baja la urgencia d su schuper nueva Constitución, q nadie sabe q dice, y hasta ahí llegó.",-1
"Que triste que por culpa de un gobierno de izquierda Chile este pasando por esta grave situacion. Usted y el futuro Gobierno de Sebastian Piñera son una luz de esperanza para salvar al pais. 
Los medios de tv mienten y tratan de ocultar lo que ocurre.",-1
"Vieja sinverguenza a 6 días dvirse lanza el proyecto d nueva Constitución... pdte Piñera, a la basura con esto",-1
Hojala los gobernadores sean personas idóneas aunque lo dudo ya que son nombrados por un delincuente constitucional. O NO señor piñera? Si es que se le puede llamar señor a un delincuente ladrón y asesino de niños.  Claro que Gracias a un montón de Chilenos delincuentes q votaron,-1
"jajaja oye y según tu análisis los chinos también estaban esperando a que llegara piñera al gobierno para empezar a comprar? el mundo también esta creciendo gracias a tu guru???
te aviso que la minería lleva un tiempo reactivándose empujando inversiones y crecimiento",-1
Piñera trató torpedeó al gobierno de Bachelet durante los 4 años de gestión y sus secuaces hicieron lo imposible por enlodar su imagen y reputación. A pesar de ello su gobierno será recordado por las grandes reformas sociales y un gran legado en beneficio de la gente.,-1
"Creo que debemos hacerle una especie de mechoneo a #Piñera, para recibirlo de manera fraterna, tirarle huevos, tomates podridos, jugo de pescado y ponerle una cabeza de chancho, hasta que el hueón devuelva la plata del banco de Talca.",-1
"SERÁ QUE SOLO LE FALTAN 5 DÍAS DE GOBIERNO A LA BACHELET..?
LO QUE DEMOSTRARÍA QUE ESTE GOBIERNO CORRUPTO ESTA DETRÁS DE ESTA MIGRACIÓN MASIVA DE HAITIANOS...
Y EL NUEVO GOBIERNO DE PIÑERA DEBERÍA REVOCAR LA LICENCIA PARA VOLAR A CHILE DE ESTA EMPRESA AÉREA LAW. ",-1
"Piñera, un presidente conservador, fue el primero en celebrar el Oscar que ganó la película chilena sobre una mujer transgénero. HC no atinó a escribir un tuit tras el éxito de “Las herederas” en Berlín. Claro, no es “El jardín de las cervezas”",-1
"Fracamente, Ejecutivo podría usar su última semana en algo más útil q presentar un proyecto q pone fin al CAE muy parecido al q Piñera envió al Congreso en 2012 y q este gob no quiso tramitar y recoge ahora. Quién paga la desidia?",-1
"¿Plan Marshall?. Un slogan del mismo tipo que afirmó que haría el ""Mejor Censo del Mundo"". Piñera es un charlatán y como todo charlatán debe presumir lo que no tiene y venderlo como si fuera único.",-1
"Cacharon a Piñera hablando de ""Plan Marshall"" para la Araucanía? Más atribuciones para las policías.
Eso se traduce de una sola forma: mayor represión a los mapuches.
Que lindo, no.
Sigan apostando al ""todo o nada"", giles!",-1
"Personas de otras regiones criticando el ""Plan Marshall"" propuesto por Piñera en La Araucanía. Joder, tenemos 7 de las 10 comunas más pobre del país. Para los que tiene duda, este plan cosiste en un incentivo económico. En los 50/60, permitió el milagro económico en Alemania.",-1
"Caso Hijitus: 2° Juzgado Civil condenó al Estado  a pagar $ 265 millones a  miembros familia Romeo Gómez, debido al daño moral y la estigmatización en el marco del caso.// Me pregunto q sucede con los acusadores Sr Schilling, Sr Izquierdo (asesor de Piñera) y otros ¿pasan piola?",-1
Marta parece que no eres capaz de manejar proporciones . El Plan Marshall era proporcional a la catástrofe de Europa después de la 2nda Guerra. Lo que propone Piñera es un Plan de Desarrollo proporcional al abandono y pobreza en La Araucania producto del conflicto. Queda claro? ,-1
"Luis Larraín a Piñera: ""En 7 días tiene la oportunidad de que Daniela se llame Daniela en su cédula""",-1
"mandar constitución la última semana es para lavarse las manos. es un saludo a la galería. no tiene ninguna utilidad práctica. no va pasar en su estado actual y probablemente tampoco se utilice la base. si Piñera no propone alternativa, más moderada, tendrá que esperar min 4 años",-1
"1- Sigo desde hace muchos años el nuevo cine chileno y me alegro por el Oscar. Una buena noticia porque Piñera no va a poder recortarle fondos (je). Lo importante: es reconocido en el mundo por una película inclusiva, moderna, de vanguardia en su temática (no en su forma). SIGUE",-1
"Pres.Bachelet le va a entregar a Piñera una economía creciendo entre el 3.5% y 4% el primer trimestre del 2018 ...para que tengan un poquito de pudor, y no anden contando historias después ",-1
