Texto,Interes
"A propósito de últimas informaciones en prensa y opiniones sobre tramitación de LIG, dejo otras ideas y algunos datos esperando que aporten al momento: 1. Proyecto ingresó al Congreso Nacional el 7 mayo 2013: por moción parlamentaria y durante el Gobierno de Sebastián Piñera.

1 respuesta 27 retweets 33 Me gusta
",-1
"El ministro Moreno confirmó que el Gobierno de Piñera rebajará impuestos a las grandes empresas.  Alrededor de mil millones de dolares dejará de percibir el Estado.
De dónde saldrá esa diferencia?
No hay que ser experto económico para saber quienes pagaremos ese costo",-1
"Ledezma en Carta Pública dirigida a los presidentes de Chile, Piñera; Perú, Kuczynski; y Argentina,  Macri, les solicitó “acciones y medidas efectivas para liberar a Vzla d la dictadura y ahorrarle a nuestro Continente los estragos previsibles, d perdurar la narcotiranía vzolana”",-1
"Está claro que las RREE son un tema de estado, pero Piñera no debe seguir haciendo guiños a la izquierda, hoy envió a Muñoz a La Haya, ya lo hizo con Guillier...Basta Piñera, no juegues con fuego, te puedes quemar !!!",-1
Ahora todos los hueones reclamando porque Piñera le bajará los impuestos a los empresarios de 27 a 25%. No les gusto quedarse hueveando en la casa y no gastar una hora de su tiempo pa ir a votar??? Se aguantan los culiaos ahora.,-1
"Si la mitad de quienes critican a piñera o sus ministros en esta red social, sólo la mitad, hubiese ido a votar, no habría tanto carerraja en Twitter…",-1
Es imposible q gobierno pueda abrir una negociación con la oposición si no se contempla el tema Constitucional. Piñera puede mandar su propio proyecto y ya hay uno d la Presidenta Bachelet. Se verán los 2 en Comisiones y hay que aprobar  el plebiscito para lo q salga del Congreso,-1
"Piñera  gobierna en contra del clamor popular: Condiciona la gratuidad al crecimiento económico, abre la posibilidad de conmutar penas a genocidas de Punta Peuco,   elimina cuatro feriados...
Sin duda, está gobernando para su clientela política y los grupos económicos.",-1
"Va una semana del Gobierno de Piñera y  ya parece una eternidad!!! Hemos retrocedido todo lo avanzado por cumplir caprichos de un sector.
*Ley de Identidad de Género.
*Reforma Constitucional.
* + Vacaciones - Feriados.
*Gratuidad será evaluada según ande la economía.",-1
Impresionante como la Izquierda exige a Gobierno de Piñera que arregle en 4 días cagazos que ellos dejaron en 4 años ,-1
"una semana del gobierno de piñera y ya dicen que le van a dar indulto a gente de punta peuco, van a quitar feriados y el ministro de educación no quiere que los estudiantes se manifiesten. tiempos mejores 💕",-1
"Para hacer la plata que tiene Piñera hay q trabajar, ser proactivo, diligente, emprendedor, trabajador, cosa que esta gente no 🚫 conoce.  Un comunista emprendedor? Resentidos y desclasados sociales. El éxito de otros no lo toleran.",-1
"La búsqueda de Acuerdos a los que el Pdte Piñera nos convoca debe partir por asumir que los partidos opositores tienen mayoría en el Congreso y nosotros en el pais, y que las reformas no parten de cero sino de algunos avances del gobierno que recién termino.",-1
"Que levante la mano quien cree que realmente el sello del gobierno de Piñera será ""social""....
Primer parche ayudar en gastos de salud a clase media para que un cáncer no los lleve a la pobreza, en vez de profundizar en cambio para un sistema único de salud.
Min Moreno no pues",-1
"Por los próximos 4 años el facho pobre promedio y los muy poquísimos fachos con plata se despertarán avergonzados preguntado: y qué cagada se mandará Piñera hoy?

No se preocupen, nosotros se lo recordaremos",-1
"No fue esta misma, la que advirtió a todo Chile sobre los robos, negociados y especulación financiera en desmedro de nuestro país y a favor de si mismo de Sebastian Piñera? Eres muy odiosa mujer!! Grande mi Presi!Chile agradecido mañana te despedimos a las 8 AM en la moneda ",-1
"POR FAVOR DIOSITO QUE SEA VERDAD, ENCUENTRO ULTIMO QUE ESTEN JUGANDO AL SUSPENSO CON ESTO PERO NECESITO QUE A LOS FACHOS LES ENTRE UN KILOMETRO DE AJI EN EL HOYO JUSTO CUANDO ASUME PIÑERA ",-1
Espero que mi Chile amado regrese a la normalidad. Que Piñera pueda gobernar tranquilo y lleve al pais adelante como el sabe. Que se terminen las contradicciones politicas y todos trabajen en el bien de la Patria,-1
